cpf,nome,telefone,setor
98765432100,Ana Costa Lima,35999999999,FÍSICA
13383606635,Gilmar Filho,35997304374,LABORATÓRIO
51907920056,Ademir Valtir,33997444769,BIOLOGIA
52949992005,Isael Aparecido,37972439685,NATAL
86880804020,Eric Ferreira,38967962437,JURÍDICO
47372826004,Lucas Ribeiro,35987654321,TECNOLOGIA
00364473070,Fábio Junior,11987654321,MÚSICA
63600049097,Vitor Leo,11123456789,MUSICA
12345678909,Joao Silva Teste,11999887766,LABORATORIO
37499187080,Maria Santos Editada,11988776655,FINANCEIRO
